speaker_standardized,speaker_proper,speaker_title,speaker_title_abbr,speaker_group,speaker_affiliation,speaker_affiliation_abbr,speaker_id_web,n_interventions,n_speaking_days
acting deputy chief patricia ferguson,Patricia Ferguson,Acting Deputy Chief,,witness,Ottawa Police Service / City of Ottawa,Ott-OPS,patricia-ferguson,719,1
acting supt. marcel beaudin,Marcel Beaudin,Acting Superintendent,Supt,witness,Ontario Provincial Police / Government of Ontario,ON-OPP,marcel-beaudin,371,2
adm. cynthia termorshuizen,Cindy Termorhuizen,Assistant Deputy Minister,ADM,witness,Global Affairs / Government of Canada,GC-GAC,cindy-termorhuizen,119,1
adm. dominic rochon,Dominic Rochon,Assistant Deputy Minister,ADM,witness,Public Safety / Government of Canada,GC-PS,dominic-rochon,91,1
adm. ian freeman,Ian Freeman,Assistant Deputy Minister,ADM,witness,?TBC? / Government of Ontario,ON-?TBC?,ian-freeman,474,1
adm. isabelle jacques,Isabellle Jacques,Assistant Deputy Minister,ADM,witness,Finance / Government of Canada,GC-FIN,isabellle-jacques,178,1
adm. marlin degrand,Marlin Degrand,Assistant Deputy Minister,ADM,witness,?TBC? / Government of Alberta,AB-?TBC?,marlin-degrand,500,1
adm. rhys mendes,Rhys Mendes,Assistant Deputy Minister,ADM,witness,Finance / Government of Canada,GC-FIN,rhys-mendes,88,1
alan honner,Alan Honner,Counsel,,counsel,Democracy Fund / Citizens for Freedom / JCCF Coalition,,alan-honner,473,13
alexandra heine,Alexandra Heine,Counsel,,counsel,Public Order Emergency Commission,POEC,alexandra-heine,545,3
allison mcmahon,Allison McMahon,Counsel,,counsel,Public Order Emergency Commission,POEC,allison-mcmahon,163,1
alyssa tomkins,Alyssa Tomkins,Counsel,,counsel,City of Ottawa,Ott,alyssa-tomkins,249,18
andrea gonsalves,Andrea Gonsalves,Counsel,,counsel,Government of Canada,GC,andrea-gonsalves,671,10
andrew gibbs,Andrew Gibbs,Counsel,,counsel,Government of Canada,GC,andrew-gibbs,281,4
anne tardif,Anne Tardif,Counsel,,counsel,City of Ottawa,Ott,anne-tardif,743,17
antoine d'ailly,Antoine D’Ailly,Counsel,,counsel,Democracy Fund / Citizens for Freedom / JCCF Coalition,,antoine-d-ailly,240,7
bath-sheba van den berg,Bath-Sheba Van den Berg,Counsel,,counsel,Convoy Organizers,,bath-sheba-van-den-berg,250,8
benjamin dichter,Benjamin Dichter,,,witness,?TBC?,,benjamin-dichter,481,1
brendan miller,Brendan Miller,Counsel,,counsel,Convoy Organizers,,brendan-miller,2306,28
brendan van niejenhuis,Brendan van Niejenhuis,Counsel,,counsel,Government of Canada,GC,brendan-van-niejenhuis,1023,14
brian clow,Brian Clow,,,witness,Prime Minister’s Office / Government of Canada,GC-PMO,brian-clow,153,1
brian gover,Brian Gover,Counsel,,counsel,Government of Canada,GC,brian-gover,62,2
brigitte belton,Brigitte Belton,,,witness,?TBC?,,brigitte-belton,376,1
c/supt. carson pardy,Carson Pardy,Chief Superintendent,C/Supt,witness,Ontario Provincial Police / Government of Ontario,ON-OPP,carson-pardy,593,1
cara zwibel,Cara Zwibel,Counsel,,counsel,Canadian Civil Liberties Association,CCLA,cara-zwibel,302,14
caroline laverdière,Caroline Laverdière,Counsel,,counsel,Government of Canada,GC,caroline-laverdiere,113,3
cheyenne arnold-cunningham,Cheyenne Arnold-Cunningham,Counsel,,counsel,Union of British Columbia Indian Chiefs,UBCIC,cheyenne-arnold-cunningham,59,7
christian dea,Christian Dea,?TBC?,,witness,Transport / Government of Canada,GC-TC,christian-dea,71,1
christine johnson,Christine Johnson,Counsel,,counsel,Ottawa Coalition of Residents and Businesses,,christine-johnson,142,9
christopher barber,Chris Barber,,,witness,?TBC?,,chris-barber,670,1
christopher deering,Chris Deering,,,witness,?TBC?,,chris-deering,125,1
christopher diana,Christopher Diana,Counsel,,counsel,Ontario Provincial Police / Government of Ontario,ON-OPP,christopher-diana,525,18
colleen mckeown,Colleen McKeown,Counsel,,counsel,CLA/CCCDL/CAD,,colleen-mckeown,52,5
comm. brenda lucki,Brenda Lucki,Commissioner,Comm,witness,Royal Canadian Mounted Police / Government of Canada,GC-RCMP,brenda-lucki,639,1
comm. thomas carrique,Thomas Carrique,Commissioner,Comm,witness,Ontario Provincial Police / Government of Ontario,ON-OPP,thomas-carrique,1098,1
commissioner rouleau,Paul Rouleau,Commissioner,,commission,Public Order Emergency Commission,POEC,paul-rouleau,2606,31
councillor catherine mckenney,Catherine McKenney,Councillor,,witness,City of Ottawa,Ott,catherine-mckenney,282,1
councillor marco van huigenbos,Marco Van Huigenbos,Councillor,,witness,Fort Macleod,,marco-van-huigenbos,274,1
councillor mathieu fleury,Mathieu Fleury,Councillor,,witness,City of Ottawa,Ott,mathieu-fleury,313,1
cynthia lau,Cynthia Lau,Counsel,,counsel,Government of Canada,GC,cynthia-lau,75,1
d/comm. curtis zablocki,Curtis Zablocki,Deputy Commissioner,D/Comm,witness,Royal Canadian Mounted Police / Government of Canada,GC-RCMP,curtis-zablocki,187,1
d/comm. michael duheme,Michael Duheme,Deputy Commissioner,D/Comm,witness,Royal Canadian Mounted Police / Government of Canada,GC-RCMP,michael-duheme,306,1
dahlia shuhaibar,Dahlia Shuhaibar,Counsel,,counsel,Public Order Emergency Commission,POEC,dahlia-shuhaibar,103,2
daniel bulford,Daniel Bulford,,,witness,?TBC?,,daniel-bulford,384,1
daniel chomski,Daniel Chomski,Counsel,,counsel,City of Ottawa,Ott,daniel-chomski,26,2
