interjection_id,text_clean_combined,line_id,page,line,transcript_line_number,line_type,section_header,speaker,speaker_standardized
22-008-02,"--- Upon commencing on Monday, November 14, 2022 at 9:30 a.m.",22-008-03,8,3,2,proceedings_start,NA,NA,NA
22-008-03,Order. À l’ordre. The Public Order Emergency Commission is now in session. La commission sur l’état d’urgence est maintenant ouverte.,22-008-04,8,4,3,speaker_start,NA,THE REGISTRAR,the registrar
22-008-07,Good morning. Bonjour. J’espère que tout le monde a eu une bonne fine de semaine. I hope everyone enjoyed the weekend. So I understand this morning we have a presentation of an overview report. Is that...,22-008-08,8,8,7,speaker_start,NA,COMMISSIONER ROULEAU,commissioner rouleau
22-008-12,--- SUBMISSIONS BY MS. NUSRA KHAN:,22-008-13,8,13,12,section_header,SUBMISSIONS BY MS. NUSRA KHAN,NA,NA
22-008-13,"Good morning, Mr. Commissioner. Nusra Khan, Commission counsel. I’ll just wait for the PowerPoint to be pulled up on the screen there. Okay, perfect. So I’ll be presenting the overview report titled “Federal Government Entities Involved in the Decision to Invoke the Emergencies Act”. This overview report is now available to the parties om the party database and will be posted on the Commission’s web site for the public very shortly. The document ID for this report is COM.OR00000008. Next slide, please. By way of introduction, this presentation focuses on the mandates of three key federal entities, that is, the Federal Executive, the Prime Minister, Cabinet and the Governor in Council, the Privy Council Office and the Prime Minister’s Office. Of course, there were many other departments and agencies implicated in the decision to declare a Public Order emergency, and the Commissioner will hear from evidence -- will hear evidence from these witnesses in the coming two weeks. The purpose of this overview report is to contextualize and frame the anticipate evidence for the benefit of the parties, the public and, of course, the Commissioner. Next slide, please. So we’ll begin with the definition. Section 17(1) of the Emergencies Act designs the formal authority to declare the existence of a Public Order emergency to the Governor in Council. The term “Governor in Council” refers to the Governor-General of Canada acting on the advice of the King’s Privy Council for Canada. The King’s Privy Council, in turn, is a technical term that describes the full group of people who have the authority to advise the sovereign or the Governor-General acting as the representative of the sovereign. In practical terms, however, references to the King’s Privy Council are references to the Federal Cabinet. The Federal Cabinet is a committee of the Privy Council and is effectively its only operative branch. And by constitutional convention, the Governor- General is required to follow the advice given by Cabinet. This is, of course, a fundamental part of our system of responsible government. Next slide, please. So here we have an organizational chart depicting the structure of the Federal Executive Branch. You’ll see that while the formal authority to govern is vested in the Governor- General, that authority is exercised on the advice of the Prime Minister and Cabinet. In turn, Prime Minister and Cabinet are supported by two central offices: the Privy Council Office and the Prime Minister’s Office. So to put it into context, the four Orders in Council that were issued by the Governor in Council in the context of the Public Order emergency were issued on the advice of the Prime Minister and Cabinet. Next slide. Thanks. The Federal Cabinet is a political decision- making body that consists of all Federal Ministers as well as the Prime Minister. The Cabinet is sometimes referred to as the Federal Ministry. Cabinet is the forum wherein the government of the day sets its priorities and decides how to advance these priorities. The Prime Minister sets the agenda and will lead Ministers to agreement in making Cabinet decisions, but the final and ultimate decision-making authority rests with the Prime Minister. Cabinet members are governed by two related conventions, Cabinet solidarity and Cabinet confidentiality. Cabinet solidarity requires that Ministers as a group be held accountable to Parliament for their government’s actions. Cabinet confidentiality requires that Ministers not disclose the substance of their Cabinet discussions to the public. The two principles are, of course, intertwined because Cabinet confidentiality allows Ministers to frankly and vigorously discuss their views with their colleagues in private while remaining united in their decisions to the public. Ministers are also individually responsible for the federal departments they oversee. The powers and duties in respect of their departments are set out in their departmental statutes. In practice, however, the day-to-day operations of a federal department or agency are carried out by the Deputy Minister and civil servants. A Deputy Minister is the senior-most member of the professional non-partisan public service. Finally, every Minister is supported by a Ministerial Office consisting of a political staff in carrying out their duties as members of Parliament. Political staff are sometimes referred to as exempt staff because they are not bound by the strict impartiality rules that apply to the public service and are, instead, temporary political appointees. So there’s a clear separation between political staff and the public servants who work with in federal departments in that political staff do not have the authority to give direction or instruction to public servants. Next slide, please. So here we have another organizational chart that depicts the work of Cabinet and Cabinet committees. The work of the government is also carried out by several Cabinet committees. The protests and the government’s response to the protests were discussed by two Cabinet committees in particular. The first was the Cabinet Committee on Safety, Security and Emergencies, or SSE, which was chaired by the Minister of Emergency Preparedness. The SSE met on February 3rd, 6th and 8th. The second Cabinet committee was the Incident Response Group, or IRG. The IRG took over the management of the issue after February 8th and was chaired by the Prime Minister and, therefore, had decision-making authority. The IRG met on February 10th, 12th and 13th, and then daily thereafter between February 16th and February 23rd. I will also add that there were two full Cabinet meetings at which the protests and the invocation of the Emergencies Act was discussed. These meetings took place on February 3rd and February 15th. Turning now to the Prime Minister’s Office, the PMO is a central political agency supporting the Prime Minister in his three roles as the head of government, the leader of a political party and a Member of Parliament. PMO staff advise the Prime Minister on policy issues, communications and Parliamentary affairs, and PMP is led by a Chief of Staff who reports directly to the Prime Minister and is also appointed by the Prime Minister. Like the staff at Ministerial offices, all staff at the PMO are exempt staff in that they are temporary political appointees. The PMO operates as a critical link between the partisan interests and agenda of the Prime Minister and the general workings of government. For instance, PMO maintains close relationships with political staff at Ministers’ offices as well as with officials at the Privy Council Office, and PMO officials often attend Cabinet meetings. The Privy Council Office, or PCO, is the central coordinating agency within the federal government. And in contrast to PMO, the PCO provides non-partisan advice to the Prime Minister and Cabinet and ensures that the government’s agenda is implemented across all federal departments and agencies. And for this reason, PCO is sometimes referred to as the Prime Minister’s Department. PCO is led by the clerk of the Privy Council. The clerk holds the additional titles of the Deputy Minister to the Prime Minister, the Secretary to Cabinet and the Head of the Public Service. And as a Secretary to Cabinet, the clerk is responsible for the smooth operation of Cabinet business, including the preparation of Cabinet memoranda and the keeping of Cabinet confidences. In addition to its primary role as the central coordinating agency, PCO also serves as the department for some Ministers. This includes the Minister of Intergovernmental Affairs, who is supported by the Intergovernmental Affairs Secretariat, as well as the Minister of Emergency Preparedness, who is supported the Emergency Preparedness and COVID-19 Recovery Secretariat. Another important PCO actor is the National Security and Intelligence Advisor, or the NSIA. The NSIA holds the title of Deputy Secretary to Cabinet and provides national security advice and intelligence briefings to the Prime Minister, as well as to Cabinet. The Office of the NSIA plays a coordinating and convening function amongst national security agencies and the Office of the NSIA itself consists of four secretariats and is responsible for convening two standing committees of senior civil servants. The NSIA also acts as the Secretary to the Incident Response Group. So this chart depicts the relationship between the Privy Council Office, federal departments and agencies, and the various secretariats within PCO. It should be noted that there is no legislation governing the role of the NSAI or PCO, as these entities are meant to play only an advisory, secretarial, and coordination function to Cabinet. The NSAI chairs the Deputy Minister’s Operations and Coordination Committee, or DMOCC, and the Assistant Secretary to Cabinet Security and Intelligence cochairs the Assistant Deputy Minister’s Committee on National Security and Operations, or ADMNSOPs. Both the ADMNSOPs and DMOCC met frequently, in fact almost daily, in late January and throughout February 2022 to discuss the government’s response to the protests. Finally, the departments and agencies listed on this slide were also involved in the Federal Government’s response to the protests and blockades and the decision to invoke the Emergencies Act. And as I mentioned earlier, witnesses from each of these departments are expected to testify in the coming weeks, and I would invite the parties to consult the Institutional Reports prepared by each department for a fuller explanation of the Department’s mandate and involvement. So that concludes the presentation on this overview report. But before I go, I would also like to enter three additional overview reports prepared by Commission Counsel and that I understand the parties have had the chance to review. First, Commission Counsel are entering a ---",22-008-14,8,14,13,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,MS. NUSRA KHAN,nusra khan
22-015-10,"Can you slow down for the interpreters, please?",22-015-12,15,12,10,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,COMMISSIONER ROULEAU,commissioner rouleau
22-015-12,"Commission Counsel are entering a report summarizing the proceedings commenced in response to the protests in January and February 2022, including judicial review proceedings commenced to challenge the invocation of the Emergencies Act. The document ID for this report is COM.OR00000001. The second report that Commission Counsel are entering is a report summarizing the protests that occurred at six international ports of entry in January and February 2022. The document ID for this report is COM.OR0000006. And the final overview report that Commission Counsel are entering is a report summarizing the oversight responsibilities of Parliament and the Parliamentary Review Committee under the Emergencies Act. The document ID for this report is COM.OR00000007. And with that, that concludes my comments. Thank you.",22-015-14,15,14,12,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,MS. NUSRA KHAN,nusra khan
22-016-01,"Thank you. And the parties will find that document, the overview report, useful for determining who they should be questioning, as we go through the various departments, because for obvious reasons, the amount of time for cross-examination is limited for each of the parties. So you should be, as much as possible, targeting the departments and witnesses who are likely to have the answers to the questions you may pose. So with that brief introduction, I call on the next witness. I think it’s a panel, as I understand it.",22-016-03,16,3,1,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,COMMISSIONER ROULEAU,commissioner rouleau
22-016-11,"Thank you, Mr. Commissioner. My name is Shantona Chaudhury, co-lead Commission Counsel. I’d like to call Mr. Rob Stewart and Mr. Dominic Rochon to the stand.",22-016-13,16,13,11,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-016-15,"Mr. Stewart, will you swear on a religious document or do you wish to affirm?",22-016-17,16,17,15,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,THE REGISTRAR,the registrar
22-016-17,Affirm.,22-016-19,16,19,17,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,DM ROBERT STEWART,dm. robert stewart
22-016-18,"For the record, please state your full name and spell it out.",22-016-20,16,20,18,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,THE REGISTRAR,the registrar
22-016-20,Robert Neil Affleck Stewart. Spell it?,22-016-22,16,22,20,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,DM ROBERT STEWART,dm. robert stewart
22-016-22,"Yes, please.",22-016-24,16,24,22,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,THE REGISTRAR,the registrar
22-016-23,R-O-B-E-R-T N-E-I-L A-F-F-L- E-C-K S-T-E-W-A-R-T.,22-016-25,16,25,23,speaker_start,SUBMISSIONS BY MS. NUSRA KHAN,DM ROBERT STEWART,dm. robert stewart
22-016-25,"--- DM ROBERT STEWART, Affirmed:",22-016-27,16,27,25,section_header,"DM ROBERT STEWART, Affirmed",NA,NA
22-016-26,"Thank you. Mr. Rochon, will you swear on a religious document or do you wish to affirm?",22-016-28,16,28,26,speaker_start,"DM ROBERT STEWART, Affirmed",THE REGISTRAR,the registrar
22-017-01,I will affirm.,22-017-03,17,3,1,speaker_start,"DM ROBERT STEWART, Affirmed",ADM DOMINIC ROCHON,adm. dominic rochon
22-017-02,"For the record, please state your full name and spell it out.",22-017-04,17,4,2,speaker_start,"DM ROBERT STEWART, Affirmed",THE REGISTRAR,the registrar
22-017-04,Dominic James Rochon. D-O- M-I-N-I-C R-O-C-H-O-N.,22-017-06,17,6,4,speaker_start,"DM ROBERT STEWART, Affirmed",ADM DOMINIC ROCHON,adm. dominic rochon
22-017-06,"--- ADM DOMINIC ROCHON, Affirmed:",22-017-08,17,8,6,section_header,"ADM DOMINIC ROCHON, Affirmed",NA,NA
22-017-07,Thank you.,22-017-09,17,9,7,speaker_start,"ADM DOMINIC ROCHON, Affirmed",THE REGISTRAR,the registrar
22-017-08,Okay. Go ahead.,22-017-10,17,10,8,speaker_start,"ADM DOMINIC ROCHON, Affirmed",COMMISSIONER ROULEAU,commissioner rouleau
22-017-09,--- EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY:,22-017-11,17,11,9,section_header,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,NA,NA
22-017-10,"Good morning, Mr. Stewart. Good morning, Mr. Rochon. Nice to see you again. I’ll just start by introducing your witness summary. So you’ll recall sitting for an interview with Commission Counsel on September 1st, 2022? Mr. Clerk, I’ll ask you to pull up WTS.0000066. Okay. So Mr. Stewart and Mr. Rochon, you’ll recall that some of your colleagues were not with us today, were not called to testify, also sat for that interview, namely Mr. Talal Dakalbab. I’m not sure I’m pronouncing that right.",22-017-12,17,12,10,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-017-21,Dakalbab.,22-017-23,17,23,21,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,DM ROBERT STEWART,dm. robert stewart
22-017-22,Pardon me?,22-017-24,17,24,22,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-017-23,Dakalbab.,22-017-25,17,25,23,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,DM ROBERT STEWART,dm. robert stewart
22-017-24,"Dakalbab. Thank you. Mr. Deryck Treheame also participated in that interview. I’ll just ask you to confirm that you’ve reviewed the summary of the interview, and if you have no changes to make, confirm that insofar as it contains your information, you adopt it, and insofar -- and it’s accurate to the best of your knowledge and belief insofar as it contains the information of your colleagues, and you believe them to have accepted it as accurate.",22-017-26,17,26,24,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-018-06,I accept it. I believe it’s accurate.,22-018-08,18,8,6,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,DM ROBERT STEWART,dm. robert stewart
22-018-08,"Thank you. Mr. Stewart, at the time of the Freedom Convoy events in January and February, you were the Deputy Minister of Public Safety? Is that correct?",22-018-10,18,10,8,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-018-12,That is correct.,22-018-14,18,14,12,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,DM ROBERT STEWART,dm. robert stewart
22-018-13,Okay. And you’ve since moved on to become the Deputy Minister of International Trade?,22-018-15,18,15,13,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-018-15,That is correct.,22-018-17,18,17,15,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,DM ROBERT STEWART,dm. robert stewart
22-018-16,And when was that?,22-018-18,18,18,16,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-018-17,Just recently. The 17th of October.,22-018-19,18,19,17,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,DM ROBERT STEWART,dm. robert stewart
22-018-19,"The 17th of October? Okay. Mr. Rochon, at the time of the events, you were the Senior Assistant Deputy Minister of Public Safety’s National and Cyber Security Branch? Is that right?",22-018-21,18,21,19,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-018-24,That’s correct.,22-018-26,18,26,24,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,ADM DOMINIC ROCHON,adm. dominic rochon
22-018-25,And you’ve also since left Public Safety to take another position? Is that correct?,22-018-27,18,27,25,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-018-27,That is correct.,22-018-29,18,29,27,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,ADM DOMINIC ROCHON,adm. dominic rochon
22-018-28,Okay. Associate Deputy Minister of Transport?,22-018-30,18,30,28,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
22-019-02,Correct.,22-019-04,19,4,2,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,ADM DOMINIC ROCHON,adm. dominic rochon
22-019-03,And when was that?,22-019-05,19,5,3,speaker_start,EXAMINATION-IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
